Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
882,L. Álvarez,UTC Cajamarca,UTC Cajamarca,"DMF, RDMF",DMF,7,35,200000,,13,1254,Peru,Peru,right,185,74,no,8.25,2.802,9.185799000000001,4.665412,0.79,1.147321,0.433355,0.22,3.87906,PER,Testing,2025,0.3147956944765435,0.350275478459953,0.3322229877373376
883,R. Salcedo,Sport Huancayo,Sport Huancayo,"LDMF, LCMF, DMF",LDMF,7,35,225000,2025-12-31,12,1154,Peru,Peru,right,175,70,no,9.75,1.17,5.847125000000001,2.182275,0.16,1.482,0.156651,0.23,1.870635,PER,Testing,2025,0.2810795968415347,0.2952796562580652,0.2878462542517931
884,H. Orzán,Melgar,Melgar,"DMF, RCMF, LCMF",DMF,7,37,250000,2025-12-31,7,590,Argentina,"Argentina, Peru",right,177,74,no,7.47,5.642805000000001,9.306016000000001,5.945373,0.46,1.67616,0.46,0.61,5.945698,PER,Testing,2025,0.4481162315416235,0.4722129980506761,0.459911789547501
885,M. Oyedele,Legia Warszawa,Legia Warszawa,DMF,DMF,7,20,0,2027-06-30,16,1047,England,"England, Poland",right,180,72,no,10.32,1.888832,9.541215000000001,5.760554999999999,1.12,1.63135,0.6879569999999999,0.43,6.106,POL,Testing,2025,0.5129978302120815,0.5337348291303023,0.5231431041666804
886,J. Jezierski,Śląsk Wrocław,Śląsk Wrocław,RDMF,RDMF,7,20,0,2026-06-30,18,1022,Poland,Poland,,0,0,no,8.19,0.8823000000000001,8.454264,4.4925,1.94,2.290223,0.7910789999999999,1.5,4.048176,POL,Testing,2025,0.2743311553409675,0.2984770625491637,0.2860699051052737
887,P. Pokorný,Śląsk Wrocław,Śląsk Wrocław,"DMF, RCMF, RDMF",DMF,7,23,1200000,2025-06-30,20,1890,Slovakia,Slovakia,right,183,79,no,9.95,5.37827,8.810777999999999,6.331727999999999,1.1,1.760742,0.57,0.48,5.473364000000001,POL,Testing,2025,0.6025188942530444,0.6662823623588527,0.6342294043465938
888,I. Zhelizko,Lechia Gdańsk,Lechia Gdańsk,"DMF, LDMF, LCMF",DMF,7,24,800000,2028-06-30,25,2383,Ukraine,Ukraine,right,186,79,no,8.69,1.7736,10.005783,4.722192,1.51,1.47225,0.375,0.57,5.171733000000001,POL,Testing,2025,0.3673566690629573,0.3744454717060532,0.3706064396550938
889,J. Atanasov,Puszcza Niepołomice,Puszcza Niepołomice,"LDMF, RCMF, RDMF",LDMF,7,25,800000,2026-06-30,19,1197,North Macedonia,North Macedonia,right,187,84,yes,9.1,4.137700000000001,9.625599999999999,7.669789999999999,2.41,2.182086,1.124955,1.05,6.767005,POL,Testing,2025,0.6289951592224141,0.6196778951780897,0.6241605898431944
890,T. Makowski,Zagłębie Lubin,Zagłębie Lubin,"LDMF, LCMF, RCMF",LDMF,7,25,550000,2026-06-30,21,1440,Poland,Poland,right,178,72,no,10.5,2.812475,10.566552,6.191162,1.44,2.125977,0.565,1.31,5.185713999999999,POL,Testing,2025,0.5655318389977082,0.6056482048024574,0.5853959380948575
891,T. Băluţă,Śląsk Wrocław,Śląsk Wrocław,"RDMF, LCMF",RDMF,7,26,2000000,2026-06-30,25,1333,Romania,Romania,right,192,81,no,11.95,1.892525,8.238142999999999,3.23848,1.28,1.148952,0.544,0.61,3.508097999999999,POL,Testing,2025,0.559370964093124,0.5767398207149101,0.5678530964711991
