Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
870,L. Popescu,Universitatea Craiova,Universitatea Craiova,GK,GK,0,26,400000,,35,3487,Romania,Romania,right,185,68,no,0.26,72.13,0.109,0.83,1.08,0.111111111111111,3.579545454545455,ROM,Testing,2023,0.4005888817917765,0.3712459875268885,0.386
871,Salam Khairi,Hatta,Hatta,GK,GK,0,24,10000,,9,909,United Arab Emirates,United Arab Emirates,,177,68,no,0.55,62.22,-0.02,1.1,1.21,-0.01081081081081092,2.647058823529412,UAE,Testing,2023,0.4096857479167385,0.36292146919394,0.386
872,Cristiano,Spartak Varna,Spartak Varna,GK,GK,0,32,200000,2024-06-30,14,1357,Germany,"Germany, Portugal",right,195,90,no,0.13,69.12,0.142,1.19,2.12,0.09150326797385633,3.244604316546763,BUL,Testing,2023,0.3977185749937868,0.3728376448428347,0.385
873,D. Ledvii,Rukh Lviv,Rukh Lviv,GK,GK,0,20,100000,2024-06-30,13,1259,Ukraine,Ukraine,right,192,80,no,0.29,72.73,-0.103,1.22,1.72,-0.1466666666666667,3.662790697674418,UKR,Testing,2023,0.4019224457172029,0.368546915210398,0.385
874,P. Menzel,Austria Klagenfurt,Austria Klagenfurt,GK,GK,0,25,700000,2024-06-30,30,2918,Germany,Germany,right,192,83,no,0.46,64.49,-0.138,1.2,2.59,-0.1021897810218977,2.821192052980132,AUT,Testing,2023,0.3871231993484034,0.3811302171577604,0.384
875,C. Maxwell,Huddersfield Town,Huddersfield Town,GK,GK,0,33,250000,,20,1960,Wales,"Wales, Scotland",right,185,74,no,0.458315,67.0,-0.065,1.42,1.29,-0.04827586206896561,3.019736842105263,ENG2,Testing,2023,0.3909837082828729,0.3769643396669928,0.384
876,S. Gori,Monza,Monza,GK,GK,0,27,1500000,2024-06-30,16,1480,Italy,Italy,right,185,75,yes,0.368553,67.74,-0.2,2.31,1.82,-0.196078431372549,3.09016393442623,ITA2,Testing,2023,0.3643447352965843,0.4039736684338285,0.384
877,I. Šehić,Al Khaleej,Al Khaleej,GK,GK,0,35,1200000,2025-06-30,9,948,Bosnia and Herzegovina,Bosnia and Herzegovina,left,190,79,no,0.4749809999999999,66.67,-0.362,2.09,2.18,-0.3711340206185567,3.0,SAUD,Testing,2023,0.3789718756889333,0.3882186646053293,0.384
878,J. Lungarzo,Alvarado,Alvarado,GK,GK,0,30,75000,2024-12-31,28,2720,Argentina,Argentina,left,182,78,no,0.43335,69.52,-0.213,1.56,1.85,-0.2470588235294118,3.273584905660377,ARG2,Testing,2023,0.3744073202160225,0.3925097407851612,0.383
879,J. Bonham,Stoke City,Stoke City,GK,GK,0,30,500000,2024-06-30,24,2326,England,"England, Republic of Ireland",right,192,94,no,0.311115,65.91,0.003,1.43,1.93,0.0,2.931034482758621,ENG2,Testing,2023,0.3853368231637689,0.3810516090333756,0.383
880,J. Oblak,Atlético Madrid,Atlético Madrid,GK,GK,0,30,40000000,2028-06-30,30,2946,Slovenia,Slovenia,right,188,87,no,0.149994,76.4,-0.017,1.16,1.16,-0.032258064516129,4.25,SPA1,Testing,2023,0.3878223786288076,0.3778519453312784,0.383
