Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
59,Joaquin Mateo,Central Norte,Central Norte,"LW, LAMF, LWF",LW,10,28,50000,2026-12-31,18,1002,Argentina,"Argentina, Spain",left,170,64,no,3.413358,1.98,1.70525,0.36,1.8,0.13,0.5399729999999999,4.762,0.04,0.72,0.27,0.54,0.27,ARG2,Testing,2026,0.2521975656993061,0.2438479164317961,0.2480227410655511
60,M. Gerez,Club Atlético Güemes,Club Atlético Güemes,"RW, RAMF, LW",RW,10,28,0,,18,1349,Argentina,Argentina,right,178,0,no,3.801721,1.13,2.268446,0.53,2.27,0.02,0.13336,8.333,0.13,0.8,0.6,0.87,0.53,ARG2,Testing,2026,0.2821130252972905,0.2667976724273529,0.2744553488623217
61,J. Marcioni,Colón,Colón,"RW, RAMF, RWF",RW,10,28,0,2026-12-31,15,1130,Argentina,Argentina,right,176,69,no,3.02498,2.07,1.594475,0.32,2.15,0.08,0.39996,27.273,0.16,1.35,0.56,1.99,0.8,ARG2,Testing,2026,0.5032567643582748,0.5085756472995744,0.5059162058289246
62,J. Salas,Patronato,Patronato,RW,RW,10,28,75000,2026-12-31,13,1028,Argentina,"Argentina, Italy",right,183,79,no,2.79972,1.49,1.485856,0.35,2.19,0.06,0.351076,11.111,0.13,0.88,0.53,1.93,0.44,ARG2,Testing,2026,0.3488870687438642,0.3617802285069462,0.3553336486254052
63,A. Campana,Midland,Midland,"RW, RAMF",RW,10,28,50000,2026-12-31,18,1266,Argentina,Argentina,left,177,73,no,3.97872,2.35,2.344545,0.0,2.49,0.18,1.422666,3.226,0.16,2.06,1.07,1.21,0.92,ARG2,Testing,2026,0.488322423928327,0.5040617819832864,0.4961921029558067
64,F. Ardiles,Estudiantes Caseros,Estudiantes Caseros,"RW, RWB, RB",RW,10,27,125000,2026-12-31,17,1492,Argentina,Argentina,right,188,75,no,2.53112,1.75,1.326555,0.18,1.69,0.15,0.36,20.0,0.08,1.09,0.78,0.36,0.36,ARG2,Testing,2026,0.3203093314059977,0.3198295800212944,0.320069455713646
65,M. Eggel,Deportivo Maipú,Deportivo Maipú,"RW, AMF, LW",RW,10,27,0,,18,1636,Argentina,Argentina,left,0,0,no,4.017124,1.05,2.202529,0.11,2.75,0.25,1.31989,9.615,0.15,1.49,1.16,0.83,0.5,ARG2,Testing,2026,0.4282131159522638,0.4395433372600164,0.4338782266061401
66,F. Bustamante,Almagro,Almagro,"LW, LAMF, RW",LW,10,27,0,2026-12-31,17,1365,Argentina,Argentina,right,167,65,no,6.067962,1.65,3.426324,1.05,1.52,0.06,0.262844,14.286,0.03,0.33,0.4,0.59,0.2,ARG2,Testing,2026,0.2135920141657631,0.2264777448330396,0.2200348794994013
67,F. Mucignat,Ciudad de Bolívar,Ciudad de Bolívar,"RAMF, RW, RCMF",RAMF,10,27,0,,18,709,Argentina,Argentina,unknown,0,0,no,2.793623,1.52,1.778455,0.63,3.55,0.04,0.253346,66.667,0.1,0.76,0.0,2.79,0.51,ARG2,Testing,2026,0.462368379074292,0.4657306512163333,0.4640495151453126
68,R. Reynoso,Acassuso,Acassuso,"RW, RAMF, RCMF",RW,10,26,0,2026-12-31,16,965,Argentina,Argentina,unknown,0,0,no,1.773576,2.05,0.8421990000000001,0.19,0.56,0.2,1.122381,23.529,0.05,0.65,0.47,0.37,0.47,ARG2,Testing,2026,0.4449870424428094,0.4197685060935393,0.4323777742681743
69,M. González,Los Andes,Los Andes,"RW, RAMF",RW,10,26,0,,16,1151,Argentina,Argentina,right,180,74,yes,2.972186999999999,1.09,1.484015,0.94,2.89,0.05,0.469953,0.0,0.07,0.47,0.23,1.72,0.47,ARG2,Testing,2026,0.2884870237925601,0.2712571757563649,0.2798720997744625
70,S. Jaurena,San Martín San Juan,San Martín San Juan,"RAMF, LW, RW",RAMF,10,26,275000,2026-12-31,14,969,Argentina,Argentina,right,175,65,no,5.0175,2.88,3.6205,0.65,1.49,0.17,1.019671,3.846,0.05,0.74,0.37,0.93,0.19,ARG2,Testing,2026,0.3503633879491206,0.3433090258217006,0.3468362068854106
71,A. Benítez,Defensores de Belgrano,Defensores de Belgrano,"RW, LAMF, RAMF",RW,10,26,0,2026-12-31,18,1399,Argentina,Argentina,right,175,75,no,4.24837,0.84,1.48,0.26,0.51,0.05,0.3856950000000001,4.762,0.05,0.71,0.32,0.32,0.19,ARG2,Testing,2026,0.1358758816149803,0.1321302455068448,0.1340030635609125
72,I. Palacio,All Boys,All Boys,"LW, LAMF, LCMF",LW,10,26,0,2028-12-31,15,843,Argentina,Argentina,unknown,0,0,no,1.06875,1.07,0.213312,0.0,0.64,0.13,0.4275,0.0,0.06,0.96,0.32,0.53,0.11,ARG2,Testing,2026,0.1793662646439133,0.1575478237795904,0.1684570442117518
