Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Passes criativos (p90),xT Passes no último terço (p90),xT Passes para último terço (p90),xT Passes (p90),xT Cruzamentos (p90)
BRA1,2024,31958.0,Fernando,Internacional,1736.0,DMC,Meio Campo,Primeiro Volante,-0.8281147400573281,-0.6833964914146894,-0.1823957698256122,0.2266898939276648,-0.8998096445152091
BRA1,2024,35237.0,Eduardo Vargas,Atletico MG,1005.0,AMC,Meio Campo,Meia,-0.4881468867910625,-0.5517192108637972,-1.2411147087309369,-1.6417825987624806,-0.8642010863170104
BRA1,2024,40237.0,Ganso,Fluminense,2432.0,AMC,Meio Campo,Meia,1.7752419488267632,1.3801141999719675,1.076516609188807,1.2834412184740478,0.6956770186699404
BRA1,2024,43369.0,Luiz Gustavo,Sao Paulo,2409.0,DMC,Meio Campo,Primeiro Volante,-0.6118850147671304,-0.6230331137874946,1.415847142863237,0.7753684898730726,-0.758893339125923
BRA1,2024,74571.0,Alan Patrick,Internacional,1979.0,AMC,Meio Campo,Meia,3.681355044176059,2.4478592250731848,0.3861509776688996,1.505620905049326,1.500444224124356
BRA1,2024,75971.0,Marquinhos Gabriel,Criciuma,1170.0,AMC,Meio Campo,Meia,0.4402852370037485,-0.1763185844116581,-0.7522736065295968,-0.4371707365589993,0.1189995687792628
BRA1,2024,81716.0,Osvaldo,Vitoria,1154.0,ML,Meio Campo,Segundo Volante,0.0825643760366498,-0.3030180798706322,-1.2344221922560048,-1.1873682977326905,0.6671181743474818
BRA1,2024,101395.0,Igor Coronado,Corinthians,1603.0,AMC,Meio Campo,Meia,2.1680581336974725,1.4013220046300645,1.2325419869324514,1.0414013291218849,1.5205598628997652
BRA1,2024,101467.0,Éverton Ribeiro,Bahia,2900.0,MC,Meio Campo,Segundo Volante,1.323085624312382,2.4712458085365765,2.0212655092328733,2.220986540646995,0.5236562675785682
BRA1,2024,101642.0,Bernard,Atletico MG,1063.0,AMC,Meio Campo,Meia,0.6146034738565916,1.5213824153468782,0.0602132370629141,0.2108360386130636,0.2682487783637384
BRA1,2024,102256.0,Edenílson,Gremio,1507.0,AMC,Meio Campo,Meia,-0.7293827308102699,-0.5194517992499117,-0.8999856504315524,-1.107299032064012,-0.3954433347234645
BRA1,2024,114095.0,Gabriel,Athletico Paranaense,1588.0,DMC,Meio Campo,Primeiro Volante,-0.1003352292033262,-0.2619031534391208,0.8911783073964731,0.8236637957103522,-0.6588299831582228
BRA1,2024,114096.0,Jádson,Juventude,3191.0,DMC,Meio Campo,Primeiro Volante,1.1818987251908168,-0.2011129609024302,0.327496751555547,-0.0204121035936271,-0.4163873157466708
BRA1,2024,115098.0,Lucas Silva,Cruzeiro,2187.0,MC,Meio Campo,Segundo Volante,0.0002644889466517,0.1403615934000067,-0.2469706335238831,0.0377465421362538,-0.1150078629033445
BRA1,2024,117055.0,Erick Pulgar,Flamengo,1954.0,DMC,Meio Campo,Primeiro Volante,-0.0274741241860177,0.0218724421695196,1.3362634482835654,1.13414749084333,-0.743252050357803
BRA1,2024,121009.0,Luciano,Sao Paulo,2522.0,AMC,Meio Campo,Meia,-0.6424934713755398,-0.1465940470262843,-0.6292645551818554,-0.8851812082207688,-0.7438081223902456
BRA1,2024,121771.0,Filipe Augusto,Cuiaba,945.0,MC,Meio Campo,Segundo Volante,-1.007875083203468,-0.9458905356202018,-0.5520478985459327,-0.4342623101992814,-0.8998096445152091
BRA1,2024,125297.0,Lucas Romero,Cruzeiro,2759.0,MC,Meio Campo,Segundo Volante,-0.0014621213326208,0.0824566439331444,0.9553678698855248,1.3009405646322028,-0.7301556976382492
BRA1,2024,128627.0,Giorgian de Arrascaeta,Flamengo,1134.0,AMC,Meio Campo,Meia,1.8048795357350675,3.5355261674937704,0.7340618929490249,2.132249094836452,2.557284962370271
BRA1,2024,130449.0,Alisson,Sao Paulo,1780.0,DMC,Meio Campo,Primeiro Volante,-0.1548215669329431,0.255878080542467,1.747195555901205,2.0110054564115933,-0.1047390550182775
BRA1,2024,130887.0,Willian Oliveira,Vitoria,2983.0,MC,Meio Campo,Segundo Volante,-0.067067684535139,-0.9130283393054572,-0.7848282194098405,-0.7995869552073531,-0.8294045636184743
BRA1,2024,131057.0,Ramiro,Cruzeiro,1611.0,MC,Meio Campo,Segundo Volante,-0.915908792044708,-0.3316911908121506,-0.5598370245218112,-0.3585336417745655,-0.5838055723981119
BRA1,2024,131079.0,Lucas Evangelista,Red Bull Bragantino,2818.0,DMC,Meio Campo,Primeiro Volante,0.1170687057378715,-0.1292905414970935,-0.3889003108117504,-0.4994400292105702,-0.4759568762308634
BRA1,2024,132282.0,Bruno Henrique,Internacional,2112.0,DMC,Meio Campo,Primeiro Volante,-0.023361152508317,0.0189322884550606,0.0485607728101978,-0.1712645778969143,0.0802125907112033
BRA1,2024,142436.0,Pablo Galdames,Vasco da Gama,1242.0,MC,Meio Campo,Segundo Volante,0.0329237445938305,-0.5799691330070867,0.0398549776635758,-0.3002559288697815,-0.4881755133242155
BRA1,2024,146672.0,Zé Welison,Fortaleza,1014.0,DMC,Meio Campo,Primeiro Volante,-0.6623788982484915,-1.0514552048194534,-0.4173700743650945,-0.7966195144168543,-0.4903675178536157
BRA1,2024,146764.0,Otávio,Atletico MG,2161.0,MC,Meio Campo,Segundo Volante,-0.921110805760903,-0.6912503276227893,0.4082149652091952,0.2408605884228836,-0.6549097871321364
BRA1,2024,149572.0,Franco Cristaldo,Gremio,2355.0,AMC,Meio Campo,Meia,2.60884486989607,2.073536955047798,0.3055144160391779,1.370041637116629,1.9852250244792
BRA1,2024,149738.0,Gustavo Scarpa,Atletico MG,2525.0,DMR,Meio Campo,Primeiro Volante,1.346936843520131,2.931506417488424,0.2163465805501143,1.790037882141471,4.957143303867604
BRA1,2024,241822.0,Guilherme Arana,Atletico MG,1481.0,ML,Meio Campo,Segundo Volante,0.7086170560569004,2.966931992946304,1.1649536767598805,2.7347546617433003,2.645135967960882
